iter	Passed	Remaining
636	1930	1100
637	1933	1097
638	1936	1093
639	1938	1090
640	1941	1087
641	1944	1084
642	1946	1080
643	1949	1077
644	1952	1074
645	1954	1071
646	1958	1068
647	1960	1065
648	1963	1062
649	1966	1058
650	1969	1055
651	1972	1052
652	1975	1049
653	1978	1046
654	1981	1043
655	1984	1040
656	1986	1037
657	1989	1033
658	1992	1031
659	1995	1027
660	1997	1024
661	2000	1021
662	2003	1018
663	2005	1014
664	2008	1011
665	2011	1008
666	2014	1005
667	2016	1002
668	2019	999
669	2021	995
670	2024	992
671	2027	989
672	2030	986
673	2032	983
674	2035	979
675	2038	976
676	2040	973
677	2043	970
678	2046	967
679	2048	964
680	2051	960
681	2054	957
682	2056	954
683	2059	951
684	2062	948
685	2064	945
686	2067	941
687	2070	938
688	2073	935
689	2076	932
690	2078	929
691	2081	926
692	2083	923
693	2086	919
694	2089	916
695	2091	913
696	2094	910
697	2096	907
698	2099	904
699	2102	900
700	2104	897
701	2107	894
702	2109	891
703	2112	888
704	2114	884
705	2117	881
706	2120	878
707	2122	875
708	2125	872
709	2128	869
710	2131	866
711	2133	863
712	2136	859
713	2138	856
714	2141	853
715	2144	850
716	2147	847
717	2149	844
718	2152	841
719	2154	838
720	2157	834
721	2160	831
722	2162	828
723	2165	825
724	2168	822
725	2170	819
726	2173	816
727	2176	813
728	2179	810
729	2181	806
730	2184	803
731	2187	800
732	2189	797
733	2192	794
734	2194	791
735	2197	788
736	2200	785
737	2203	782
738	2206	779
739	2208	776
740	2211	773
741	2214	769
742	2216	766
743	2219	763
744	2222	760
745	2225	757
746	2228	754
747	2231	751
748	2234	748
749	2237	745
750	2240	742
751	2243	739
752	2245	736
753	2248	733
754	2251	730
755	2254	727
756	2257	724
757	2259	721
758	2262	718
759	2265	715
760	2268	712
761	2271	709
762	2273	706
763	2276	703
764	2279	700
765	2282	697
766	2284	694
767	2287	690
768	2290	687
769	2292	684
770	2295	681
771	2298	678
772	2301	675
773	2304	672
774	2306	669
775	2309	666
776	2312	663
777	2315	660
778	2318	657
779	2320	654
780	2323	651
781	2326	648
782	2329	645
783	2331	642
784	2334	639
785	2337	636
786	2340	633
787	2343	630
788	2346	627
789	2349	624
790	2351	621
791	2354	618
792	2357	615
793	2359	612
794	2362	609
795	2365	606
796	2368	603
797	2371	600
798	2373	597
799	2376	594
800	2379	591
801	2382	588
802	2384	585
803	2387	582
804	2390	578
805	2392	575
806	2395	572
807	2398	569
808	2401	566
809	2403	563
810	2407	560
811	2409	557
812	2412	554
813	2415	551
814	2417	548
815	2420	545
816	2422	542
817	2425	539
818	2428	536
819	2431	533
820	2433	530
821	2436	527
822	2439	524
823	2442	521
824	2444	518
825	2447	515
826	2450	512
827	2453	509
828	2456	506
829	2459	503
830	2462	500
831	2465	497
832	2467	494
833	2470	491
834	2473	488
835	2476	485
836	2478	482
837	2481	479
838	2484	476
839	2486	473
840	2489	470
841	2492	467
842	2494	464
843	2497	461
844	2500	458
845	2502	455
846	2505	452
847	2508	449
848	2510	446
849	2513	443
850	2516	440
851	2518	437
852	2521	434
853	2524	431
854	2527	428
855	2529	425
856	2532	422
857	2534	419
858	2538	416
859	2540	413
860	2543	410
861	2546	407
862	2549	404
863	2552	401
864	2555	398
865	2558	395
866	2561	392
867	2563	389
868	2567	387
869	2570	384
870	2573	381
871	2575	378
872	2578	375
873	2581	372
874	2584	369
